Policy_ID,Issue_Date,Effective_Date,End_Of_Effective_Date,Reference_Date,Sales_Location,Line_Of_Business,Sales_Channel,Premium_Amount
546322,2021-09-12,2021-09-12,2022-09-12,2021-12-31,Italy,Transportation,Non-Digital,193097.32
580139,2021-06-06,2021-06-06,2022-06-06,2021-12-31,Germany,Residence,Digital,59780.84
578987,2021-11-21,2021-11-21,2022-11-21,2021-12-31,Germany,Auto,Non-Digital,36184.18
407062,2021-03-06,2021-03-06,2022-03-06,2021-12-31,Portugal,Auto,Non-Digital,38382.37
748871,2021-11-17,2021-11-17,2022-11-17,2021-12-31,Germany,Auto,Digital,40004.58
729093,2021-07-30,2021-07-30,2022-07-30,2021-12-31,Sweden,Transportation,Digital,61467.72
363429,2021-06-07,2021-06-07,2022-06-07,2021-12-31,Sweden,Transportation,Non-Digital,186112.53
973712,2021-07-16,2021-07-16,2022-07-16,2021-12-31,Portugal,Auto,Digital,20960.69
442317,2021-07-19,2021-07-19,2022-07-19,2021-12-31,Portugal,Auto,Non-Digital,5286.85
596409,2021-04-12,2021-04-12,2022-04-12,2021-12-31,Norway,Auto,Non-Digital,41052.18
477953,2021-03-14,2021-03-14,2022-03-14,2021-12-31,Switzerland,Residence,Digital,41774.48
564275,2021-03-27,2021-03-27,2022-03-27,2021-12-31,Denmark,Residence,Digital,41001.84
205873,2021-04-02,2021-04-02,2022-04-02,2021-12-31,France,Residence,Non-Digital,76788.04
580216,2021-01-18,2021-01-18,2022-01-18,2021-12-31,Denmark,Engineering,Non-Digital,452186.17
118203,2021-08-12,2021-08-12,2022-08-12,2021-12-31,Switzerland,Transportation,Digital,199778.19
787680,2021-02-06,2021-02-06,2022-02-06,2021-12-31,Portugal,Auto,Non-Digital,47791.29
147840,2021-08-07,2021-08-07,2022-08-07,2021-12-31,Sweden,Residence,Non-Digital,47439.58
476471,2021-04-22,2021-04-22,2022-04-22,2021-12-31,Norway,Liability,Non-Digital,325447.96
571321,2021-05-21,2021-05-21,2022-05-21,2021-12-31,Norway,Auto,Non-Digital,47567.23
926450,2021-10-06,2021-10-06,2022-10-06,2021-12-31,Netherlands,Auto,Digital,30207.16
450486,2021-07-17,2021-07-17,2022-07-17,2021-12-31,Netherlands,Liability,Non-Digital,259030.02
785864,2021-03-02,2021-03-02,2022-03-02,2021-12-31,Norway,Residence,Non-Digital,94781.55
770669,2021-06-17,2021-06-17,2022-06-17,2021-12-31,Denmark,Residence,Non-Digital,60730.94
950415,2021-03-20,2021-03-20,2022-03-20,2021-12-31,Switzerland,Auto,Non-Digital,35875.84
179530,2021-08-22,2021-08-22,2022-08-22,2021-12-31,Netherlands,Residence,Non-Digital,55945.88
851507,2021-06-13,2021-06-13,2022-06-13,2021-12-31,France,Auto,Digital,8798.46
448116,2021-01-30,2021-01-30,2022-01-30,2021-12-31,France,Residence,Non-Digital,79914.5
975412,2021-10-02,2021-10-02,2022-10-02,2021-12-31,Denmark,Auto,Digital,5305.47
193389,2021-06-29,2021-06-29,2022-06-29,2021-12-31,Italy,Auto,Digital,40677.56
927633,2021-04-27,2021-04-27,2022-04-27,2021-12-31,Italy,Transportation,Non-Digital,81823.21
264634,2021-11-30,2021-11-30,2022-11-30,2021-12-31,Netherlands,Engineering,Non-Digital,244724.48
619622,2021-12-30,2021-12-30,2022-12-30,2021-12-31,Germany,Auto,Digital,41827.4
977923,2021-03-26,2021-03-26,2022-03-26,2021-12-31,Italy,Auto,Non-Digital,32782.94
253939,2021-08-01,2021-08-01,2022-08-01,2021-12-31,Norway,Residence,Non-Digital,98988.43
720983,2021-06-26,2021-06-26,2022-06-26,2021-12-31,Netherlands,Residence,Non-Digital,93595.39
354481,2021-06-30,2021-06-30,2022-06-30,2021-12-31,France,Transportation,Non-Digital,163334.68
722078,2021-12-14,2021-12-14,2022-12-14,2021-12-31,Portugal,Residence,Non-Digital,28769.57
966465,2021-08-15,2021-08-15,2022-08-15,2021-12-31,Switzerland,Residence,Digital,73332.29
417808,2021-03-11,2021-03-11,2022-03-11,2021-12-31,Denmark,Transportation,Non-Digital,66966.64
146461,2021-01-21,2021-01-21,2022-01-21,2021-12-31,Denmark,Liability,Non-Digital,266681.77
299711,2021-04-01,2021-04-01,2022-04-01,2021-12-31,Switzerland,Liability,Digital,438424.69
280578,2021-07-27,2021-07-27,2022-07-27,2021-12-31,Italy,Engineering,Digital,446384.33
336254,2021-12-30,2021-12-30,2022-12-30,2021-12-31,France,Residence,Non-Digital,73673.15
691967,2021-07-16,2021-07-16,2022-07-16,2021-12-31,Switzerland,Liability,Digital,160389.14
267101,2021-09-09,2021-09-09,2022-09-09,2021-12-31,Denmark,Auto,Digital,4803.22
594362,2021-08-30,2021-08-30,2022-08-30,2021-12-31,Norway,Auto,Non-Digital,29062.47
519579,2021-02-14,2021-02-14,2022-02-14,2021-12-31,Italy,Auto,Digital,14856.63
596023,2021-08-07,2021-08-07,2022-08-07,2021-12-31,Denmark,Transportation,Digital,134226.64
705139,2021-02-18,2021-02-18,2022-02-18,2021-12-31,Denmark,Engineering,Non-Digital,145491.9
237753,2021-10-18,2021-10-18,2022-10-18,2021-12-31,Denmark,Residence,Digital,90904.06
212080,2021-04-09,2021-04-09,2022-04-09,2021-12-31,Sweden,Residence,Non-Digital,94489.44
