Claim_ID,Policy_ID,Occurrence_Date,Claim_Status,Claim_Amount,Payment_Date,Expense_Amount
C2023-0001,773480,2023-07-20,Pending,33494.25,,2586.98
C2023-0002,271460,2024-09-04,Pending,112733.47,,6133.07
C2023-0003,817110,2023-12-23,Pending,536007.22,,39211.16
C2023-0004,568661,2024-02-27,Pending,30411.53,,3583.3
C2023-0005,451715,2024-04-29,Pending,24498.28,,1860.4
C2023-0006,706573,2024-08-11,Settled,643257.75,2024-12-15,23374.1
C2023-0007,744614,2024-08-25,Settled,556803.53,2024-10-15,28457.67
C2023-0008,598470,2024-08-19,Settled,239859.27,2025-02-04,13806.76
C2023-0009,714295,2024-08-13,Pending,16214.39,,1201.67
C2023-0010,574967,2023-09-17,Pending,36166.99,,5287.27
C2023-0011,186905,2024-08-31,Pending,24757.87,,3303.86
C2023-0012,672144,2023-11-18,Pending,66104.75,,4322.86
C2023-0013,854859,2024-01-12,Pending,24890.55,,959.09
C2023-0014,123979,2024-07-26,Pending,58339.45,,4923.28
C2023-0015,206579,2024-04-14,Settled,22114.66,2024-08-30,3219.73
C2023-0016,888929,2023-04-29,Pending,41842.34,,5237.4
C2023-0017,497326,2023-09-25,Settled,548464.22,2024-09-24,32459.03
C2023-0018,426724,2024-02-12,Pending,33329.29,,1998.88
C2023-0019,321885,2023-07-11,Settled,13124.84,2023-08-16,848.7
C2023-0020,696227,2023-11-18,Settled,14680.68,2024-02-04,697.72
C2023-0021,418573,2023-03-21,Pending,160449.49,,6250.32
C2023-0022,465454,2024-07-13,Settled,601636.3,2024-11-13,30548.05
C2023-0023,595427,2024-01-31,Pending,100909.17,,3048.82
C2023-0024,422843,2024-09-06,Pending,99096.05,,1488.32
C2023-0025,303945,2023-06-14,Pending,83786.56,,1741.34
C2023-0026,730381,2024-07-11,Pending,1378631.06,,31947.16
C2023-0027,192035,2024-05-15,Pending,613734.22,,29618.2
C2023-0028,360026,2023-10-07,Pending,31487.39,,3568.42
C2023-0029,617575,2024-02-29,Pending,22964.67,,3212.44
C2023-0030,594417,2023-08-04,Settled,141982.89,2023-10-14,14486.18
C2023-0031,647122,2023-10-21,Pending,240713.09,,8103.13
C2023-0032,272039,2024-08-27,Pending,27467.7,,2833.09
C2023-0033,354510,2024-03-28,Pending,21878.91,,2032.91
C2023-0034,782258,2023-12-26,Settled,669702.43,2024-02-12,11716.45
C2023-0035,429703,2023-11-07,Pending,33923.47,,1852.82
C2023-0036,223484,2024-05-27,Pending,892030.46,,26868.09
C2023-0037,730344,2024-02-03,Pending,41887.36,,2671.03
C2023-0038,477376,2023-05-06,Settled,15619.16,2023-10-31,913.1
C2023-0039,524283,2023-12-24,Settled,30045.78,2024-01-26,1200.18
C2023-0040,696099,2023-11-25,Settled,335439.61,2024-01-21,22428.27
C2023-0041,326315,2023-07-06,Pending,191396.34,,9530.12
C2023-0042,614907,2024-01-15,Pending,1259209.8,,28014.94
C2023-0043,952131,2023-09-10,Settled,27801.35,2023-12-19,636.46
C2023-0044,126264,2024-03-17,Pending,12102.1,,1441.65
C2023-0045,755234,2024-04-16,Pending,23232.9,,2411.12
C2023-0046,477272,2023-04-10,Pending,24782.73,,3489.01
C2023-0047,598875,2023-12-12,Pending,30477.21,,5931.99
C2023-0048,126168,2023-10-13,Pending,175831.31,,13283.98
C2023-0049,402675,2024-07-25,Settled,67177.3,2025-01-17,1615.39
C2023-0050,562683,2023-08-25,Pending,95092.57,,13448.05
C2023-0051,623672,2023-08-02,Pending,91497.04,,5067.09
C2023-0052,982155,2024-06-15,Pending,90240.72,,1541.1
C2023-0053,291065,2024-05-04,Settled,17562.99,2024-06-16,3706.96
