Claim_ID,Policy_ID,Occurrence_Date,Claim_Status,Claim_Amount,Payment_Date,Expense_Amount
C2021-0001,546322,2021-12-29,Settled,154090.39,2022-03-27,11304.07
C2021-0002,578987,2022-09-18,Settled,32434.53,2022-11-14,2932.29
C2021-0003,407062,2021-09-19,Pending,25611.54,,3589.88
C2021-0004,748871,2022-06-19,Settled,43673.81,2022-11-07,4377.25
C2021-0005,973712,2022-05-30,Settled,19927.33,2022-09-29,1790.52
C2021-0006,596409,2022-02-10,Pending,19030.91,,3464.98
C2021-0007,118203,2022-02-14,Pending,268660.09,,12032.36
C2021-0008,571321,2022-04-27,Pending,34961.95,,3385.11
C2021-0009,770669,2021-12-04,Settled,147094.04,2022-12-04,7353.91
C2021-0010,950415,2021-06-08,Pending,29380.63,,2621.83
C2021-0011,927633,2022-02-19,Settled,77781.2,2022-04-29,20374.24
C2021-0012,619622,2022-09-24,Pending,20068.6,,2476.71
C2021-0013,253939,2022-04-20,Pending,66556.44,,7279.93
C2021-0014,722078,2022-06-13,Pending,70282.43,,1323.04
C2021-0015,966465,2022-04-25,Settled,62047.36,2022-05-29,6645.0
C2021-0016,299711,2021-08-08,Pending,965363.32,,47818.36
C2021-0017,280578,2022-06-17,Pending,1350950.09,,32178.27
C2021-0018,336254,2022-08-31,Settled,85310.8,2023-02-25,2102.1
C2021-0019,267101,2022-03-06,Settled,20399.05,2022-07-15,1661.0
C2021-0020,705139,2021-11-18,Pending,419906.9,,14364.28
C2021-0021,237753,2022-03-17,Pending,73938.34,,3681.34
C2021-0022,721151,2022-03-14,Settled,21540.73,2022-08-29,3144.53
C2021-0023,736209,2022-06-06,Pending,269692.25,,18516.4
C2021-0024,863841,2021-12-16,Settled,44566.22,2022-04-04,4481.12
C2021-0025,913634,2022-05-11,Pending,653161.87,,20462.6
C2021-0026,338859,2021-10-01,Pending,136655.82,,4182.27
C2021-0027,283882,2021-11-11,Pending,941977.09,,7573.44
C2021-0028,917722,2022-04-06,Settled,47799.14,2022-08-04,4093.01
C2021-0029,108298,2021-06-30,Pending,679086.75,,7936.82
C2021-0030,458580,2022-04-08,Settled,17542.65,2022-07-25,3656.86
C2021-0031,978252,2021-09-04,Settled,198035.64,2021-12-30,9443.34
C2021-0032,399544,2022-07-15,Settled,225603.69,2022-12-19,7226.87
C2021-0033,377728,2022-10-31,Pending,1190051.07,,18545.09
C2021-0034,353076,2022-10-17,Pending,169617.53,,14299.97
C2021-0035,285771,2022-03-08,Settled,17432.87,2022-07-09,7553.46
C2021-0036,192646,2021-12-25,Pending,997368.25,,46205.13
C2021-0037,646278,2022-11-08,Settled,224604.15,2023-02-07,13739.51
C2021-0038,135100,2021-09-12,Pending,195321.88,,22948.32
C2021-0039,765322,2021-12-16,Pending,498671.44,,33140.63
C2021-0040,463614,2022-02-27,Settled,38962.96,2022-04-29,1957.5
C2021-0041,809678,2022-08-01,Pending,270355.86,,24710.41
C2021-0042,151618,2021-12-16,Pending,46612.48,,4519.4
C2021-0043,499313,2022-11-11,Pending,149889.56,,7589.61
C2021-0044,275506,2022-06-10,Settled,55813.29,2022-10-18,6079.37
C2021-0045,695166,2022-08-05,Pending,37894.72,,2482.45
C2021-0046,733994,2022-08-26,Pending,38350.25,,735.33
C2021-0047,830972,2022-05-14,Pending,82152.31,,1871.63
C2021-0048,171312,2021-09-17,Pending,857409.2,,47410.74
C2021-0049,469423,2021-07-25,Settled,29751.09,2022-01-17,3593.73
C2021-0050,943176,2022-04-22,Pending,89953.38,,5556.48
C2021-0051,710487,2021-08-23,Pending,26948.16,,1703.01
C2021-0052,584475,2021-07-17,Pending,128075.84,,3279.67
C2021-0053,375919,2022-01-24,Settled,15454.79,2022-02-24,2352.41
C2021-0054,306575,2022-04-19,Pending,28552.05,,3734.26
C2021-0055,149401,2022-09-13,Pending,60292.31,,10737.38
C2021-0056,487627,2022-03-08,Settled,908855.15,2022-08-10,8415.44
C2021-0057,858852,2022-07-27,Pending,31943.95,,664.95
C2021-0058,575336,2022-05-11,Settled,24227.95,2022-08-25,689.89
C2021-0059,563554,2022-02-02,Pending,262540.96,,26361.69
C2021-0060,656155,2021-04-15,Settled,23519.77,2021-06-27,2983.66
C2021-0061,354010,2021-09-29,Settled,149613.42,2022-01-16,27169.78
C2021-0062,222716,2021-10-01,Settled,1391278.86,2022-10-01,28486.99
C2021-0063,255581,2022-01-20,Pending,49022.9,,4948.53
C2021-0064,827952,2022-07-12,Pending,304593.54,,19885.35
C2021-0065,622753,2022-01-22,Pending,767146.41,,12089.78
C2021-0066,401774,2022-03-30,Settled,211326.69,2022-08-09,16258.66
C2021-0067,385666,2022-07-14,Settled,289895.6,2022-11-12,27100.34
C2021-0068,177262,2022-07-02,Settled,271858.87,2022-10-15,7033.64
C2021-0069,109015,2022-01-08,Pending,140147.42,,1724.76
C2021-0070,723561,2021-10-14,Settled,78295.42,2022-03-23,1581.03
C2021-0071,779815,2022-04-19,Settled,20689.75,2022-05-29,4978.51
C2021-0072,163131,2022-04-10,Pending,614445.57,,28896.67
C2021-0073,122710,2022-07-02,Pending,27905.31,,1137.02
C2021-0074,572044,2022-08-10,Settled,34477.89,2022-10-06,2941.83
C2021-0075,211513,2022-05-03,Pending,35864.41,,1138.41
C2021-0076,933666,2021-08-14,Pending,26468.2,,714.18
C2021-0077,409488,2022-03-18,Settled,232687.6,2023-03-18,6766.51
C2021-0078,261804,2022-09-24,Pending,1003975.08,,25362.16
C2021-0079,884169,2022-10-27,Pending,146676.13,,3284.21
C2021-0080,404035,2022-03-14,Pending,185687.36,,8928.52
C2021-0081,240157,2022-08-30,Settled,121316.14,2023-08-30,17133.3
C2021-0082,592170,2022-07-04,Settled,13544.59,2023-07-04,2917.46
C2021-0083,794528,2021-12-25,Settled,999489.72,2022-02-24,9270.95
C2021-0084,250616,2022-02-10,Pending,36612.39,,3712.02
C2021-0085,888081,2021-11-30,Pending,29727.09,,4984.34
C2021-0086,387951,2021-07-29,Pending,396131.86,,21530.9
C2021-0087,534337,2021-09-25,Pending,1096656.43,,11466.29
C2021-0088,772768,2021-12-10,Pending,12372.6,,1823.44
C2021-0089,598423,2021-10-02,Settled,248232.06,2022-10-02,23787.77
C2021-0090,268185,2021-11-28,Pending,35807.95,,703.87
C2021-0091,347619,2022-03-09,Pending,34174.86,,1353.88
C2021-0092,262376,2022-03-09,Settled,145008.42,2022-06-27,3656.29
C2021-0093,841343,2022-09-21,Settled,12263.56,2022-12-04,2723.46
C2021-0094,109500,2021-11-26,Pending,252861.4,,24868.42
C2021-0095,615925,2022-01-10,Settled,709636.45,2022-04-11,39092.91
C2021-0096,904750,2022-01-03,Pending,846182.3,,24761.46
C2021-0097,733804,2022-06-10,Settled,198842.44,2022-09-19,26305.81
C2021-0098,799754,2022-07-19,Pending,823140.87,,40104.35
C2021-0099,585062,2022-08-28,Pending,571816.49,,9481.98
C2021-0100,650247,2021-03-18,Pending,620455.55,,16744.64
C2021-0101,726467,2021-09-18,Pending,406598.15,,12687.69
C2021-0102,493798,2022-01-05,Settled,652294.39,2022-03-24,15472.26
C2021-0103,462273,2022-03-19,Settled,664206.52,2022-05-01,6459.73
C2021-0104,488576,2022-08-10,Settled,14955.28,2023-08-10,1575.46
C2021-0105,529343,2021-12-08,Pending,223582.26,,13067.73
C2021-0106,388551,2021-07-19,Pending,549204.03,,13150.43
C2021-0107,248256,2022-05-28,Settled,39157.3,2023-05-28,1863.41
C2021-0108,184616,2022-01-22,Settled,39607.45,2022-07-01,3391.88
C2021-0109,865663,2021-07-28,Pending,49485.37,,4490.81
C2021-0110,437808,2021-07-04,Settled,376721.8,2022-07-04,12612.31
C2021-0111,762562,2021-12-05,Settled,184693.06,2022-04-08,24164.86
C2021-0112,236009,2021-10-05,Settled,174626.32,2021-12-28,12860.0
C2021-0113,875553,2022-06-27,Settled,337312.86,2022-10-10,17647.74
C2021-0114,154089,2022-10-18,Settled,704171.66,2023-02-13,24492.73
C2021-0115,153095,2021-10-23,Pending,35077.6,,1092.73
C2021-0116,343179,2022-03-15,Pending,22331.88,,1377.62
C2021-0117,991821,2021-09-09,Pending,276428.76,,22643.91
C2021-0118,878402,2021-12-21,Pending,190805.18,,9720.65
C2021-0119,230897,2021-07-24,Settled,21982.34,2021-09-02,2048.38
C2021-0120,805346,2021-07-29,Pending,185478.08,,7698.52
C2021-0121,398515,2021-06-28,Pending,33169.54,,1742.87
C2021-0122,315984,2021-10-29,Pending,569579.37,,26718.31
C2021-0123,703798,2022-03-27,Pending,1009278.99,,8550.89
C2021-0124,286452,2022-03-28,Pending,593416.59,,24838.38
C2021-0125,548538,2022-07-18,Settled,401887.27,2022-10-19,20325.11
C2021-0126,326725,2021-11-06,Pending,522950.15,,7346.73
C2021-0127,979535,2021-03-27,Pending,234042.98,,6864.89
C2021-0128,381341,2021-10-28,Pending,27562.69,,3328.58
C2021-0129,271306,2021-12-02,Settled,531528.92,2022-05-20,38509.19
C2021-0130,517872,2022-04-24,Pending,269855.53,,16498.28
C2021-0131,150991,2022-10-01,Pending,20906.25,,1197.78
C2021-0132,629686,2021-08-28,Pending,243409.36,,16027.88
C2021-0133,229340,2022-05-27,Pending,121739.9,,2091.26
C2021-0134,590568,2021-11-27,Pending,35034.67,,3890.04
C2021-0135,420395,2021-06-19,Pending,122207.7,,4922.38
C2021-0136,622293,2021-08-14,Settled,418215.08,2022-01-12,30777.35
C2021-0137,134414,2021-08-10,Settled,729940.77,2021-12-24,27010.35
C2021-0138,992174,2022-01-05,Settled,328435.82,2022-05-15,18749.5
C2021-0139,472695,2022-05-28,Pending,239481.51,,9419.41
C2021-0140,862264,2022-04-02,Settled,16031.59,2022-09-25,3498.37
C2021-0141,394406,2022-06-20,Settled,27426.01,2022-09-08,1300.29
C2021-0142,174310,2022-03-09,Pending,350191.46,,22355.85
C2021-0143,172573,2022-09-13,Settled,109099.53,2022-11-02,7301.73
C2021-0144,302687,2022-03-27,Pending,13568.87,,2217.35
C2021-0145,922614,2022-03-03,Settled,66130.27,2022-04-08,15884.52
C2021-0146,717067,2022-02-06,Settled,36925.1,2023-02-06,1795.29
C2021-0147,551509,2022-08-13,Pending,86478.58,,3092.02
C2021-0148,712772,2021-09-27,Settled,31505.99,2021-12-27,2019.26
C2021-0149,827254,2021-10-13,Settled,27420.6,2021-12-16,6177.07
C2021-0150,367132,2021-05-25,Pending,1408402.86,,34370.23
C2021-0151,288459,2021-10-13,Pending,138244.26,,7910.64
C2021-0152,472986,2022-01-19,Pending,969884.5,,23162.04
C2021-0153,572711,2022-02-18,Pending,964764.12,,26308.25
C2021-0154,564081,2021-11-24,Settled,107434.67,2022-04-27,2012.52
C2021-0155,890839,2021-05-31,Settled,29378.15,2021-11-14,2512.5
C2021-0156,844468,2021-03-08,Pending,32603.02,,3725.37
C2021-0157,828010,2021-10-02,Settled,110391.59,2022-01-24,3991.73
C2021-0158,905857,2021-11-27,Settled,106158.38,2022-05-11,18045.75
C2021-0159,847815,2022-06-19,Pending,47754.07,,4033.28
C2021-0160,334950,2022-08-11,Pending,963717.42,,11642.58
C2021-0161,138048,2022-10-04,Pending,39741.71,,879.48
C2021-0162,793839,2022-04-20,Pending,31124.29,,767.1
