Claim_ID,Policy_ID,Occurrence_Date,Claim_Status,Claim_Amount,Payment_Date,Expense_Amount
C2022-0001,443021,2023-01-26,Pending,18921.67,,2789.55
C2022-0002,145696,2022-06-15,Pending,42946.92,,4449.29
C2022-0003,692092,2022-08-19,Pending,399684.23,,29897.33
C2022-0004,362167,2023-02-26,Settled,46321.85,2023-04-12,4346.58
C2022-0005,589769,2023-01-16,Settled,20239.46,2023-02-26,1067.19
C2022-0006,612212,2022-11-01,Pending,1123144.77,,16215.39
C2022-0007,230679,2022-08-21,Pending,121482.13,,1790.65
C2022-0008,742112,2022-08-15,Settled,27290.44,2023-08-15,1835.92
C2022-0009,262795,2022-10-07,Settled,39152.99,2023-03-06,3461.89
C2022-0010,387275,2022-08-29,Pending,939953.83,,19382.42
C2022-0011,417376,2023-04-04,Settled,84518.57,2024-04-03,13083.26
C2022-0012,804332,2023-01-12,Pending,683065.31,,17690.3
C2022-0013,576721,2023-02-23,Settled,485077.28,2024-02-23,22571.31
C2022-0014,465360,2023-04-29,Settled,28423.38,2023-10-10,3959.2
C2022-0015,712234,2023-05-09,Settled,196209.07,2023-08-28,21036.72
C2022-0016,973869,2023-02-28,Pending,29793.51,,2490.73
C2022-0017,372586,2022-11-17,Pending,23778.4,,2992.81
C2022-0018,987013,2023-04-16,Settled,265492.27,2023-09-29,9502.52
C2022-0019,362599,2022-11-11,Settled,134283.58,2022-12-13,17616.98
C2022-0020,424526,2022-07-06,Settled,111830.76,2022-08-09,4924.15
C2022-0021,467124,2023-06-22,Pending,210075.55,,18309.79
C2022-0022,829643,2023-06-06,Settled,179396.86,2023-09-03,17732.23
C2022-0023,549447,2022-05-23,Settled,151289.56,2022-09-22,4946.14
C2022-0024,805215,2022-12-25,Settled,27052.56,2023-03-17,1215.79
C2022-0025,842863,2023-04-29,Pending,74632.46,,21422.8
C2022-0026,500560,2023-01-04,Pending,43186.48,,4087.89
C2022-0027,717107,2023-03-22,Settled,65962.75,2023-08-22,17908.15
C2022-0028,286031,2022-11-16,Settled,123541.28,2023-11-16,7139.95
C2022-0029,837152,2022-06-26,Pending,27050.91,,2958.54
