Policy_ID,Issue_Date,Effective_Date,End_Of_Effective_Date,Reference_Date,Sales_Location,Line_Of_Business,Sales_Channel,Premium_Amount
760205,2020-07-24,2020-07-24,2021-07-24,2020-12-31,Italy,Transportation,Non-Digital,26304.19
885063,2020-03-19,2020-03-19,2021-03-19,2020-12-31,Germany,Residence,Non-Digital,10528.32
651821,2020-12-05,2020-12-05,2021-12-05,2020-12-31,Denmark,Engineering,Non-Digital,204403.85
634082,2020-04-05,2020-04-05,2021-04-05,2020-12-31,Switzerland,Engineering,Non-Digital,132964.0
405880,2020-04-26,2020-04-26,2021-04-26,2020-12-31,France,Residence,Non-Digital,55592.17
313257,2020-12-13,2020-12-13,2021-12-13,2020-12-31,Norway,Residence,Non-Digital,3916.68
265007,2020-05-15,2020-05-15,2021-05-15,2020-12-31,Italy,Auto,Non-Digital,49347.44
758020,2020-03-21,2020-03-21,2021-03-21,2020-12-31,Portugal,Residence,Non-Digital,76378.24
279986,2020-04-14,2020-04-14,2021-04-14,2020-12-31,Switzerland,Auto,Digital,36281.33
740272,2020-06-13,2020-06-13,2021-06-13,2020-12-31,Italy,Engineering,Non-Digital,305437.65
105110,2020-08-09,2020-08-09,2021-08-09,2020-12-31,Switzerland,Transportation,Digital,147441.13
955206,2020-08-10,2020-08-10,2021-08-10,2020-12-31,Switzerland,Liability,Digital,423366.91
329396,2020-09-12,2020-09-12,2021-09-12,2020-12-31,Italy,Auto,Non-Digital,4677.6
765167,2020-07-22,2020-07-22,2021-07-22,2020-12-31,Italy,Residence,Non-Digital,60105.95
151244,2020-05-06,2020-05-06,2021-05-06,2020-12-31,Switzerland,Auto,Non-Digital,36401.43
110518,2020-09-07,2020-09-07,2021-09-07,2020-12-31,France,Liability,Non-Digital,486791.22
576781,2020-08-18,2020-08-18,2021-08-18,2020-12-31,Italy,Residence,Digital,83327.26
611009,2020-12-07,2020-12-07,2021-12-07,2020-12-31,France,Auto,Digital,18395.13
385026,2020-03-23,2020-03-23,2021-03-23,2020-12-31,Norway,Residence,Digital,44507.97
342847,2020-01-14,2020-01-14,2021-01-13,2020-12-31,Italy,Residence,Non-Digital,87607.84
224820,2020-05-02,2020-05-02,2021-05-02,2020-12-31,Germany,Liability,Digital,231405.71
190256,2020-01-01,2020-01-01,2020-12-31,2020-12-31,France,Auto,Non-Digital,46776.57
507489,2020-01-03,2020-01-03,2021-01-02,2020-12-31,Switzerland,Residence,Digital,81547.27
679059,2020-01-02,2020-01-02,2021-01-01,2020-12-31,Sweden,Transportation,Digital,221684.69
604933,2020-07-21,2020-07-21,2021-07-21,2020-12-31,Denmark,Transportation,Digital,53208.78
721263,2020-05-30,2020-05-30,2021-05-30,2020-12-31,Sweden,Engineering,Non-Digital,319085.96
995636,2020-09-18,2020-09-18,2021-09-18,2020-12-31,Sweden,Liability,Non-Digital,175338.96
454908,2020-05-17,2020-05-17,2021-05-17,2020-12-31,Switzerland,Liability,Digital,402159.23
816884,2020-03-31,2020-03-31,2021-03-31,2020-12-31,Sweden,Liability,Non-Digital,392614.19
497484,2020-06-25,2020-06-25,2021-06-25,2020-12-31,Netherlands,Engineering,Non-Digital,303226.86
676871,2020-07-27,2020-07-27,2021-07-27,2020-12-31,Netherlands,Liability,Non-Digital,241262.51
418242,2020-07-23,2020-07-23,2021-07-23,2020-12-31,France,Auto,Non-Digital,36921.89
614526,2020-11-03,2020-11-03,2021-11-03,2020-12-31,Norway,Transportation,Non-Digital,236761.73
370678,2020-12-26,2020-12-26,2021-12-26,2020-12-31,Sweden,Liability,Non-Digital,466086.9
767626,2020-10-20,2020-10-20,2021-10-20,2020-12-31,Norway,Auto,Digital,6093.03
528622,2020-06-24,2020-06-24,2021-06-24,2020-12-31,Sweden,Transportation,Digital,234472.05
306626,2020-02-12,2020-02-12,2021-02-11,2020-12-31,France,Engineering,Non-Digital,404831.56
166414,2020-07-20,2020-07-20,2021-07-20,2020-12-31,Switzerland,Auto,Digital,27142.41
206804,2020-04-08,2020-04-08,2021-04-08,2020-12-31,Sweden,Liability,Non-Digital,451997.82
810799,2020-01-25,2020-01-25,2021-01-24,2020-12-31,Netherlands,Transportation,Non-Digital,134920.39
203052,2020-12-23,2020-12-23,2021-12-23,2020-12-31,Switzerland,Auto,Digital,36711.2
355846,2020-06-29,2020-06-29,2021-06-29,2020-12-31,Portugal,Engineering,Non-Digital,409317.64
132887,2020-07-26,2020-07-26,2021-07-26,2020-12-31,Switzerland,Residence,Digital,99910.95
694037,2020-01-11,2020-01-11,2021-01-10,2020-12-31,Denmark,Auto,Digital,10083.58
797739,2020-12-06,2020-12-06,2021-12-06,2020-12-31,Denmark,Auto,Digital,14470.94
914118,2020-12-09,2020-12-09,2021-12-09,2020-12-31,Switzerland,Residence,Non-Digital,72899.1
715280,2020-02-25,2020-02-25,2021-02-24,2020-12-31,Denmark,Residence,Digital,77254.22
409897,2020-11-20,2020-11-20,2021-11-20,2020-12-31,Italy,Transportation,Non-Digital,104309.85
817078,2020-12-19,2020-12-19,2021-12-19,2020-12-31,Norway,Transportation,Digital,247869.27
161342,2020-09-06,2020-09-06,2021-09-06,2020-12-31,Germany,Auto,Digital,19142.06
321115,2020-03-17,2020-03-17,2021-03-17,2020-12-31,Norway,Residence,Non-Digital,21589.95
733310,2020-12-09,2020-12-09,2021-12-09,2020-12-31,Germany,Liability,Non-Digital,218378.7
150602,2020-01-06,2020-01-06,2021-01-05,2020-12-31,Portugal,Transportation,Digital,38946.18
539733,2020-01-05,2020-01-05,2021-01-04,2020-12-31,Sweden,Auto,Digital,26735.6
405635,2020-10-19,2020-10-19,2021-10-19,2020-12-31,Norway,Auto,Digital,14518.26
446209,2020-12-27,2020-12-27,2021-12-27,2020-12-31,France,Auto,Non-Digital,18498.37
178049,2020-03-02,2020-03-02,2021-03-02,2020-12-31,Netherlands,Auto,Non-Digital,49030.03
172290,2020-12-17,2020-12-17,2021-12-17,2020-12-31,Denmark,Residence,Non-Digital,7290.91
784347,2020-07-31,2020-07-31,2021-07-31,2020-12-31,Italy,Transportation,Digital,88314.76
422846,2020-03-23,2020-03-23,2021-03-23,2020-12-31,Switzerland,Transportation,Digital,53589.68
435436,2020-09-15,2020-09-15,2021-09-15,2020-12-31,Switzerland,Liability,Non-Digital,205401.12
264512,2020-02-22,2020-02-22,2021-02-21,2020-12-31,Sweden,Residence,Non-Digital,18320.19
368523,2020-05-01,2020-05-01,2021-05-01,2020-12-31,Italy,Engineering,Non-Digital,198837.02
209232,2020-01-23,2020-01-23,2021-01-22,2020-12-31,Germany,Engineering,Non-Digital,187353.79
558635,2020-01-30,2020-01-30,2021-01-29,2020-12-31,Portugal,Transportation,Non-Digital,93576.37
723502,2020-02-18,2020-02-18,2021-02-17,2020-12-31,Portugal,Residence,Digital,7584.75
617413,2020-08-26,2020-08-26,2021-08-26,2020-12-31,Portugal,Residence,Non-Digital,74650.19
860513,2020-11-30,2020-11-30,2021-11-30,2020-12-31,Sweden,Residence,Non-Digital,98420.74
549608,2020-02-27,2020-02-27,2021-02-26,2020-12-31,Sweden,Transportation,Non-Digital,184088.56
779908,2020-07-15,2020-07-15,2021-07-15,2020-12-31,Norway,Liability,Digital,265091.2
592141,2020-05-07,2020-05-07,2021-05-07,2020-12-31,Portugal,Auto,Digital,43061.01
529813,2020-10-31,2020-10-31,2021-10-31,2020-12-31,Netherlands,Residence,Digital,38263.01
953941,2020-02-05,2020-02-05,2021-02-04,2020-12-31,Germany,Auto,Non-Digital,26303.54
219548,2020-10-31,2020-10-31,2021-10-31,2020-12-31,Italy,Residence,Digital,32575.9
263593,2020-06-22,2020-06-22,2021-06-22,2020-12-31,Switzerland,Residence,Digital,8437.09
721595,2020-04-01,2020-04-01,2021-04-01,2020-12-31,Portugal,Auto,Digital,42403.26
408323,2020-06-23,2020-06-23,2021-06-23,2020-12-31,Italy,Auto,Non-Digital,11553.75
699148,2020-11-30,2020-11-30,2021-11-30,2020-12-31,France,Auto,Digital,18557.87
263693,2020-06-11,2020-06-11,2021-06-11,2020-12-31,Portugal,Auto,Digital,25775.01
920397,2020-08-20,2020-08-20,2021-08-20,2020-12-31,France,Engineering,Non-Digital,319974.19
379668,2020-01-20,2020-01-20,2021-01-19,2020-12-31,Norway,Auto,Digital,29044.52
104555,2020-11-20,2020-11-20,2021-11-20,2020-12-31,Portugal,Auto,Digital,10001.59
871588,2020-01-19,2020-01-19,2021-01-18,2020-12-31,France,Auto,Non-Digital,33770.18
230101,2020-09-26,2020-09-26,2021-09-26,2020-12-31,Portugal,Auto,Non-Digital,21859.44
160924,2020-06-30,2020-06-30,2021-06-30,2020-12-31,Portugal,Engineering,Non-Digital,287630.08
531731,2020-09-08,2020-09-08,2021-09-08,2020-12-31,Portugal,Liability,Non-Digital,116044.17
145912,2020-12-21,2020-12-21,2021-12-21,2020-12-31,Sweden,Liability,Digital,472500.76
781906,2020-09-26,2020-09-26,2021-09-26,2020-12-31,Netherlands,Liability,Digital,386286.99
745577,2020-06-09,2020-06-09,2021-06-09,2020-12-31,Netherlands,Auto,Digital,20244.06
118673,2020-06-15,2020-06-15,2021-06-15,2020-12-31,Italy,Liability,Non-Digital,386506.69
811744,2020-05-17,2020-05-17,2021-05-17,2020-12-31,Italy,Engineering,Digital,55064.69
933156,2020-05-02,2020-05-02,2021-05-02,2020-12-31,Portugal,Engineering,Non-Digital,125211.95
254017,2020-05-09,2020-05-09,2021-05-09,2020-12-31,Germany,Auto,Digital,17853.61
703355,2020-09-21,2020-09-21,2021-09-21,2020-12-31,Portugal,Engineering,Digital,455528.13
317534,2020-12-29,2020-12-29,2021-12-29,2020-12-31,Italy,Residence,Digital,58582.93
742617,2020-04-30,2020-04-30,2021-04-30,2020-12-31,Switzerland,Residence,Non-Digital,22115.66
442648,2020-09-30,2020-09-30,2021-09-30,2020-12-31,Denmark,Residence,Non-Digital,84440.04
530133,2020-07-22,2020-07-22,2021-07-22,2020-12-31,Portugal,Liability,Non-Digital,190676.01
584157,2020-11-21,2020-11-21,2021-11-21,2020-12-31,Denmark,Auto,Digital,3580.29
419389,2020-11-08,2020-11-08,2021-11-08,2020-12-31,Denmark,Transportation,Digital,216414.34
914736,2020-05-09,2020-05-09,2021-05-09,2020-12-31,France,Transportation,Non-Digital,23321.7
767618,2020-10-28,2020-10-28,2021-10-28,2020-12-31,Italy,Auto,Non-Digital,49329.35
225289,2020-05-29,2020-05-29,2021-05-29,2020-12-31,Portugal,Liability,Digital,464555.93
272430,2020-08-20,2020-08-20,2021-08-20,2020-12-31,Denmark,Residence,Digital,72180.76
192140,2020-05-27,2020-05-27,2021-05-27,2020-12-31,Italy,Residence,Non-Digital,79117.93
588940,2020-10-08,2020-10-08,2021-10-08,2020-12-31,Italy,Auto,Digital,36929.25
722575,2020-01-05,2020-01-05,2021-01-04,2020-12-31,Sweden,Residence,Digital,58388.32
808675,2020-08-08,2020-08-08,2021-08-08,2020-12-31,France,Liability,Digital,259295.55
248955,2020-09-23,2020-09-23,2021-09-23,2020-12-31,Germany,Auto,Digital,4420.31
