Claim_ID,Policy_ID,Occurrence_Date,Claim_Status,Claim_Amount,Payment_Date,Expense_Amount
C2020-0001,885063,2021-03-11,Pending,115326.58,,6363.96
C2020-0002,651821,2021-06-09,Settled,950240.2,2021-07-26,27917.92
C2020-0003,313257,2021-04-08,Pending,27663.27,,1956.44
C2020-0004,265007,2021-03-28,Settled,18764.06,2021-05-26,3188.18
C2020-0005,279986,2020-10-23,Pending,14899.36,,683.13
C2020-0006,329396,2021-07-24,Pending,14141.42,,827.94
C2020-0007,110518,2021-07-28,Pending,749093.59,,14654.98
C2020-0008,576781,2020-12-09,Pending,78591.51,,7907.6
C2020-0009,611009,2021-07-28,Pending,36710.39,,820.78
C2020-0010,224820,2020-07-27,Pending,495028.22,,31203.24
C2020-0011,679059,2020-07-26,Settled,148744.69,2020-12-02,12952.33
C2020-0012,604933,2021-06-28,Settled,71420.76,2021-10-30,10005.39
C2020-0013,721263,2020-11-26,Pending,1127513.53,,17211.97
C2020-0014,995636,2021-09-13,Pending,449949.46,,13475.35
C2020-0015,454908,2021-04-25,Pending,369713.64,,16921.2
C2020-0016,676871,2021-02-02,Pending,533830.37,,14550.01
C2020-0017,418242,2020-09-11,Settled,18531.31,2021-02-03,871.05
C2020-0018,767626,2021-10-05,Pending,35223.1,,711.29
C2020-0019,306626,2020-04-28,Settled,841409.13,2020-10-08,26092.34
C2020-0020,166414,2020-09-30,Settled,25350.71,2020-11-13,3034.77
C2020-0021,203052,2021-10-16,Pending,27751.25,,3698.03
C2020-0022,355846,2021-03-08,Pending,1068035.57,,14818.53
C2020-0023,694037,2020-11-10,Settled,39603.22,2021-02-18,3417.13
C2020-0024,161342,2020-11-24,Settled,24745.51,2021-03-12,3993.99
C2020-0025,321115,2020-12-02,Settled,33114.98,2021-04-23,3414.67
C2020-0026,733310,2021-11-30,Settled,383256.51,2022-02-01,25594.9
C2020-0027,150602,2020-06-16,Pending,277281.02,,22942.11
C2020-0028,539733,2020-05-19,Pending,31734.35,,2331.04
C2020-0029,446209,2021-05-04,Pending,37664.22,,2430.3
C2020-0030,178049,2021-02-20,Settled,46078.52,2021-04-20,4346.15
C2020-0031,172290,2021-07-22,Settled,159034.78,2022-07-22,2668.71
C2020-0032,784347,2021-03-27,Pending,240012.79,,23512.05
C2020-0033,209232,2020-06-21,Pending,452609.55,,8366.09
C2020-0034,558635,2020-12-29,Pending,102583.37,,11587.05
C2020-0035,860513,2021-10-10,Settled,54790.59,2022-01-24,2635.71
C2020-0036,779908,2021-01-21,Pending,605942.81,,23562.49
C2020-0037,592141,2020-09-28,Settled,19304.3,2020-12-13,2718.59
C2020-0038,529813,2021-01-26,Settled,120954.72,2021-03-19,2675.78
C2020-0039,408323,2021-02-16,Pending,39841.15,,3361.97
C2020-0040,699148,2021-03-05,Settled,33141.35,2021-06-21,2414.56
C2020-0041,920397,2021-05-12,Pending,412861.03,,21811.33
C2020-0042,379668,2020-08-09,Settled,27185.23,2020-10-26,2850.93
C2020-0043,160924,2020-09-19,Settled,443418.12,2021-03-11,7044.99
C2020-0044,745577,2021-06-04,Settled,31210.19,2021-09-17,2047.34
C2020-0045,118673,2020-09-15,Settled,618415.9,2021-02-06,37183.46
C2020-0046,811744,2020-12-12,Pending,1147064.79,,9474.97
C2020-0047,703355,2021-04-05,Settled,1029581.41,2021-06-11,16522.55
C2020-0048,914736,2020-09-20,Pending,196880.52,,21865.36
C2020-0049,272430,2021-02-04,Settled,81146.95,2021-07-23,2832.77
C2020-0050,192140,2021-01-23,Settled,138608.9,2021-05-02,4906.86
C2020-0051,588940,2021-02-17,Settled,27090.26,2021-03-31,1140.0
C2020-0052,722575,2020-08-19,Pending,59564.92,,7547.02
C2020-0053,808675,2020-11-01,Pending,297313.95,,28015.0
C2020-0054,248955,2020-11-02,Pending,20752.1,,2526.17
C2020-0055,915173,2020-07-07,Pending,14433.65,,5485.57
C2020-0056,562602,2020-09-17,Pending,1092440.04,,16883.07
C2020-0057,306501,2020-11-12,Pending,15062.45,,3531.1
C2020-0058,553814,2021-03-29,Pending,729535.32,,34954.21
C2020-0059,646854,2021-04-05,Pending,22370.74,,1246.46
C2020-0060,412596,2021-10-03,Pending,447471.62,,37216.97
C2020-0061,538277,2021-01-11,Settled,12791.58,2021-03-22,729.51
C2020-0062,115535,2020-05-14,Pending,12060.35,,2044.18
C2020-0063,773364,2021-05-09,Pending,39110.95,,6874.09
C2020-0064,184936,2020-05-06,Pending,971622.25,,12971.5
C2020-0065,301922,2021-07-13,Pending,46736.16,,4351.71
C2020-0066,886551,2021-08-19,Settled,32077.29,2021-10-23,1017.25
C2020-0067,385942,2020-11-16,Settled,91724.53,2021-02-27,1798.1
C2020-0068,208272,2021-12-10,Settled,104010.53,2022-12-10,26454.04
C2020-0069,283896,2021-01-25,Pending,45032.57,,4098.07
C2020-0070,743381,2020-05-20,Pending,887134.95,,8604.73
C2020-0071,928735,2021-05-21,Pending,130862.56,,15064.61
C2020-0072,426119,2020-12-02,Pending,158244.45,,12858.15
C2020-0073,576097,2020-05-19,Settled,441925.51,2021-05-19,35248.5
C2020-0074,430336,2021-06-13,Pending,116523.97,,5922.16
C2020-0075,134945,2021-01-13,Settled,30583.51,2021-05-05,1618.7
C2020-0076,612841,2020-12-15,Settled,273076.29,2021-05-12,15992.46
C2020-0077,772247,2020-09-28,Pending,825760.1,,18074.25
C2020-0078,654696,2021-06-30,Pending,89924.15,,23172.46
C2020-0079,925921,2020-10-28,Settled,152562.87,2020-11-30,5098.47
C2020-0080,656307,2021-06-05,Pending,368895.45,,24427.71
C2020-0081,936579,2021-01-29,Pending,22042.76,,2153.85
C2020-0082,677333,2020-11-07,Pending,89817.51,,9495.6
C2020-0083,313302,2021-03-11,Pending,101926.17,,12340.88
C2020-0084,487247,2021-01-12,Settled,754506.22,2021-06-21,7507.96
C2020-0085,805288,2021-02-06,Pending,96381.83,,3443.76
C2020-0086,313378,2021-03-03,Pending,29142.3,,3630.13
C2020-0087,945567,2020-09-18,Pending,164499.36,,9996.8
C2020-0088,954960,2021-07-06,Pending,21905.61,,3752.77
C2020-0089,479466,2021-03-31,Settled,400360.99,2021-08-19,30726.78
C2020-0090,311861,2020-09-12,Pending,30637.49,,1876.37
C2020-0091,691246,2021-02-01,Pending,28553.23,,2268.17
C2020-0092,504104,2021-01-29,Settled,141152.57,2021-04-07,11649.7
C2020-0093,224538,2020-11-04,Pending,48300.05,,4545.11
C2020-0094,487529,2021-03-04,Pending,191045.48,,15166.08
C2020-0095,852887,2021-01-14,Pending,23485.71,,1822.92
C2020-0096,953502,2021-01-02,Settled,1175820.84,2021-04-24,13300.45
C2020-0097,342643,2020-05-08,Settled,691893.49,2020-08-06,34234.59
